Comment,Designator,Footprint,LCSC Part #
1M,R1,R0805,
1u,C1 C6,C0805,
2k7,R5 R8,R0805,
2n2,C2 C3 C5,C0805,
4k7,R11,R0805,
10k,R3 R4 R9 R10,R0805,
10n,C4,C0805,
10u,C7,C0805,
47k,R7,R0805,
100k,R2,R0805,
470R,R6,R0805,
TL074D,IC1,SO14,
